tick=0 subject=world event=world_initialized result=width:128,height:128,territories:2
tick=0 subject=F0240 event=food_initialized result=class:low,position:45:88,territory:B
tick=0 subject=F0241 event=food_initialized result=class:medium,position:37:114,territory:B
tick=0 subject=F0242 event=food_initialized result=class:high,position:60:92,territory:B
tick=0 subject=F0243 event=food_initialized result=class:low,position:10:83,territory:B
tick=0 subject=F0244 event=food_initialized result=class:medium,position:114:113,territory:B
tick=0 subject=M01 event=agent_initialized result=name:Zug,position:12:17,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:20
tick=0 subject=M02 event=agent_initialized result=name:Krul,position:79:50,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:33
tick=0 subject=M03 event=agent_initialized result=name:Quib,position:95:47,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:40
tick=0 subject=M04 event=agent_initialized result=name:Sput,position:115:45,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:13
tick=0 subject=M05 event=agent_initialized result=name:Trok,position:20:42,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:35
tick=0 subject=M06 event=agent_initialized result=name:Womp,position:30:36,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:19
tick=0 subject=M07 event=agent_initialized result=name:Hozz,position:113:122,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:40
tick=0 subject=M08 event=agent_initialized result=name:Nurb,position:87:81,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:35
tick=0 subject=M09 event=agent_initialized result=name:Vonk,position:126:71,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:24
tick=0 subject=M10 event=agent_initialized result=name:Gorm,position:37:126,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:0
tick=0 subject=M11 event=agent_initialized result=name:Xob,position:112:72,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:19
tick=0 subject=M12 event=agent_initialized result=name:Drix,position:123:72,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:4
tick=0 subject=world event=decision_source_selected result=source:reference
