tick=0 subject=world event=world_initialized result=width:128,height:128,territories:2
tick=0 subject=M04 event=agent_initialized result=name:Sput,position:65:15,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:5
tick=0 subject=M05 event=agent_initialized result=name:Trok,position:13:22,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:4
tick=0 subject=M06 event=agent_initialized result=name:Womp,position:96:7,territory:A,health:100,satiety:100,energy:100,fear:0,waste_tolerance:32
tick=0 subject=M07 event=agent_initialized result=name:Hozz,position:59:125,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:15
tick=0 subject=M08 event=agent_initialized result=name:Nurb,position:53:82,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:10
tick=0 subject=M09 event=agent_initialized result=name:Vonk,position:112:112,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:39
tick=0 subject=M10 event=agent_initialized result=name:Gorm,position:55:88,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:18
tick=0 subject=M11 event=agent_initialized result=name:Xob,position:35:100,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:20
tick=0 subject=M12 event=agent_initialized result=name:Drix,position:97:90,territory:B,health:100,satiety:100,energy:100,fear:0,waste_tolerance:37
tick=0 subject=world event=decision_source_selected result=source:individual
